epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8299,4.75202,7.23738,4.62978,0,0,0,0,4.14351,4.79398,4.15802,2e-05,2e-05,2e-05
2,14.4594,2.98605,7.22859,4.86381,0,0,0,0,4.14286,4.79594,4.15714,5.9406e-05,5.9406e-05,5.9406e-05
3,16.9364,3.78476,5.18795,4.41139,0,0,0,0,4.14222,4.7987,4.15624,9.802e-05,9.802e-05,9.802e-05
4,20.5896,3.51778,5.70175,4.52287,0,0,0,0,4.14169,4.80007,4.15543,0.000135842,0.000135842,0.000135842
5,23.1525,1.41415,6.94051,2.17974,0,0,0,0,4.1416,4.80252,4.15477,0.000172872,0.000172872,0.000172872
6,26.4411,3.41467,4.65035,4.19741,0,0,0,0,4.14156,4.80723,4.15418,0.00020911,0.00020911,0.00020911
7,29.1904,3.79374,6.28904,4.71977,0,0,0,0,4.14199,4.80781,4.15381,0.000244556,0.000244556,0.000244556
8,32.6568,3.57134,4.06469,4.28243,0,0,0,0,4.1436,4.80628,4.15394,0.00027921,0.00027921,0.00027921
9,35.2244,2.50754,4.46455,4.11635,0,0,0,0,4.14488,4.80523,4.15424,0.000313072,0.000313072,0.000313072
10,38.5899,4.28608,7.76576,4.15667,0,0,0,0,4.1477,4.8079,4.15494,0.000346142,0.000346142,0.000346142
11,41.0749,3.96567,5.26679,4.18365,0,0,0,0,4.15114,4.80781,4.15585,0.00037842,0.00037842,0.00037842
12,44.4041,3.51419,5.35733,4.16908,0,0,0,0,4.15576,4.8098,4.15707,0.000409906,0.000409906,0.000409906
13,47.3988,3.69458,5.34564,3.87717,0,0,0,0,4.16108,4.81294,4.15865,0.0004406,0.0004406,0.0004406
14,50.3053,4.31299,4.66283,3.91179,0,0,0,0,4.16716,4.80576,4.16067,0.000470502,0.000470502,0.000470502
15,52.7975,2.79608,3.71699,4.07245,0,0,0,0,4.17305,4.78333,4.1629,0.000499612,0.000499612,0.000499612
16,56.206,3.15868,4.12318,4.0948,0,0,0,0,4.17918,4.72803,4.16545,0.00052793,0.00052793,0.00052793
17,58.4741,2.41269,4.35324,4.01037,0,0,0,0,4.18658,4.70402,4.16808,0.000555456,0.000555456,0.000555456
18,61.5354,2.60018,3.68105,4.09789,0,0,0,0,4.19546,4.7102,4.17155,0.00058219,0.00058219,0.00058219
19,64.0527,2.48375,3.22165,3.69642,0,0,0,0,4.20363,4.71654,4.17424,0.000608132,0.000608132,0.000608132
