epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.8032,3.64762,4.96102,4.15517,0.00016,0.025,1e-05,0,3.45878,5.0863,4.15997,0.000540649,0.000540649,0.000540649
2,78.6132,3.09523,4.04,3.76555,0,0,0,0,3.40756,5.02688,4.18622,0.0010927,0.0010927,0.0010927
3,114.127,2.67967,3.29656,3.17553,0.0004,0.05519,0.00016,2e-05,3.64326,4.80953,4.44029,0.00164108,0.00164108,0.00164108
4,152.034,2.4018,2.67853,2.64386,0.35502,0.4348,0.32379,0.11576,2.14465,2.79628,2.50387,0.0016505,0.0016505,0.0016505
5,193.968,2.2403,2.43858,2.4675,0.79072,0.175,0.2199,0.08644,2.33752,5.50264,2.72012,0.001645,0.001645,0.001645
6,230.559,2.1246,2.14262,2.31675,0.52652,0.54009,0.49112,0.23399,1.94238,2.80034,2.18834,0.00163949,0.00163949,0.00163949
7,266.512,2.0455,1.90133,2.18411,0.79155,0.58427,0.66991,0.3322,1.79804,2.29672,1.94008,0.00163399,0.00163399,0.00163399
8,302.808,1.87252,1.70588,2.02356,0.84032,0.62236,0.76469,0.41265,1.63006,1.46198,1.79189,0.00162849,0.00162849,0.00162849
9,338.845,1.91101,1.65292,2.10945,0.7239,0.50744,0.63847,0.32991,1.67162,2.51663,1.77467,0.00162299,0.00162299,0.00162299
10,374.331,1.7572,1.50624,1.8746,0.75753,0.69823,0.79089,0.46271,1.40641,1.46523,1.6412,0.00161749,0.00161749,0.00161749
11,409.782,1.69654,1.40952,1.87156,0.8178,0.71594,0.82289,0.48621,1.4878,1.5895,1.62399,0.00161199,0.00161199,0.00161199
12,446.98,1.63666,1.29123,1.76848,0.93258,0.73472,0.88138,0.57242,1.30168,1.14145,1.53398,0.00160649,0.00160649,0.00160649
13,483.438,1.53541,1.22863,1.76125,0.78567,0.77877,0.84926,0.54268,1.25744,1.09131,1.48446,0.00160099,0.00160099,0.00160099
14,521.217,1.47158,1.17758,1.74802,0.9142,0.78214,0.91242,0.59964,1.21958,0.95013,1.4531,0.00159549,0.00159549,0.00159549
15,557.208,1.38696,1.11138,1.64136,0.88723,0.53565,0.76844,0.50159,1.23051,2.80162,1.49099,0.00158998,0.00158998,0.00158998
16,592.84,1.43661,1.11091,1.69326,0.86756,0.83428,0.92159,0.64791,1.11366,0.91923,1.38156,0.00158448,0.00158448,0.00158448
17,628.06,1.38421,1.09208,1.60507,0.9024,0.65935,0.87908,0.60657,1.14274,1.60405,1.41423,0.00157898,0.00157898,0.00157898
18,663.161,1.2327,0.97427,1.51241,0.96095,0.88712,0.95591,0.66291,1.12922,0.81666,1.34966,0.00157348,0.00157348,0.00157348
19,698.925,1.33399,1.01694,1.60566,0.96266,0.90731,0.96221,0.66094,1.11658,0.80518,1.36271,0.00156798,0.00156798,0.00156798
20,733.809,1.16522,0.85958,1.48102,0.95083,0.87665,0.9561,0.66293,1.09458,0.77004,1.35803,0.00156248,0.00156248,0.00156248
21,768.278,1.21518,0.86574,1.46186,0.94736,0.92543,0.9695,0.6847,1.11926,0.81604,1.36268,0.00155698,0.00155698,0.00155698
22,803.377,1.24744,0.88321,1.5381,0.89796,0.87329,0.956,0.64265,1.14257,0.81043,1.35886,0.00155148,0.00155148,0.00155148
23,839.991,1.16836,0.85113,1.44795,0.96332,0.91752,0.97279,0.70856,1.0041,0.7693,1.30263,0.00154598,0.00154598,0.00154598
24,875.409,1.07653,0.8225,1.40083,0.98235,0.91856,0.97529,0.7145,0.96912,0.69759,1.30028,0.00154047,0.00154047,0.00154047
25,910.735,1.12164,0.79943,1.42675,0.95016,0.95191,0.97173,0.72364,0.96861,0.68767,1.28174,0.00153497,0.00153497,0.00153497
26,945.427,1.03757,0.75945,1.38693,0.96245,0.9523,0.97562,0.75368,0.87125,0.61345,1.24612,0.00152947,0.00152947,0.00152947
27,979.876,1.00815,0.73431,1.37451,0.93466,0.92168,0.97556,0.74432,0.89128,0.61075,1.23347,0.00152397,0.00152397,0.00152397
28,1014.74,0.9964,0.7149,1.33885,0.92819,0.95587,0.97031,0.76526,0.85497,0.61634,1.19567,0.00151847,0.00151847,0.00151847
29,1049.16,1.01738,0.73832,1.35826,0.83344,0.61472,0.73081,0.54564,1.01271,1.39211,1.3365,0.00151297,0.00151297,0.00151297
30,1083.6,0.9708,0.70313,1.33218,0.98009,0.91565,0.97499,0.73777,0.88634,0.63792,1.21669,0.00150747,0.00150747,0.00150747
31,1117.53,0.9488,0.68282,1.29609,0.99626,0.91261,0.97541,0.76994,0.81747,0.5786,1.17813,0.00150197,0.00150197,0.00150197
32,1152.03,0.90733,0.65577,1.30217,0.93857,0.96712,0.97469,0.76803,0.86128,0.57234,1.19837,0.00149647,0.00149647,0.00149647
33,1186.21,0.96915,0.67363,1.28949,0.94752,0.94965,0.97956,0.74089,0.93032,0.58014,1.21138,0.00149096,0.00149096,0.00149096
34,1220.95,0.89013,0.60691,1.247,0.97162,0.94239,0.97779,0.78473,0.78385,0.55955,1.1508,0.00148546,0.00148546,0.00148546
35,1288.19,0.85434,0.63499,1.25001,0.92162,0.97051,0.97284,0.77727,0.75212,0.53881,1.16511,0.00147996,0.00147996,0.00147996
36,1322.56,0.85735,0.6097,1.25317,0.97959,0.95422,0.98111,0.78342,0.78356,0.53895,1.14477,0.00147446,0.00147446,0.00147446
37,1356.49,0.8611,0.59201,1.22394,0.99157,0.95347,0.98487,0.77172,0.81418,0.52461,1.16753,0.00146896,0.00146896,0.00146896
38,1390.68,0.87417,0.59556,1.24546,0.98546,0.95522,0.9816,0.78184,0.80344,0.50943,1.15309,0.00146346,0.00146346,0.00146346
39,1424.63,0.83456,0.59328,1.2485,0.97373,0.96406,0.98406,0.80819,0.7324,0.4943,1.11381,0.00145796,0.00145796,0.00145796
40,1459.41,0.81506,0.57911,1.18705,0.93233,0.96063,0.97913,0.79044,0.75785,0.50571,1.12915,0.00145246,0.00145246,0.00145246
41,1493.91,0.8111,0.57476,1.17921,0.96229,0.96761,0.98378,0.80732,0.6977,0.47147,1.08442,0.00144696,0.00144696,0.00144696
42,1528.32,0.79736,0.5569,1.17892,0.97616,0.95646,0.97936,0.78591,0.76211,0.49184,1.12229,0.00144145,0.00144145,0.00144145
43,1562.4,0.78101,0.54727,1.18919,0.96256,0.96331,0.98273,0.79439,0.74096,0.47995,1.11705,0.00143595,0.00143595,0.00143595
44,1597.66,0.80587,0.55669,1.16909,0.98883,0.97083,0.98146,0.79542,0.71237,0.4939,1.09602,0.00143045,0.00143045,0.00143045
45,1639.82,0.76495,0.54533,1.16399,0.97251,0.95515,0.97893,0.79043,0.74159,0.50966,1.10558,0.00142495,0.00142495,0.00142495
46,1675.05,0.78334,0.55538,1.19546,0.97909,0.94813,0.98077,0.81558,0.70843,0.52911,1.09585,0.00141945,0.00141945,0.00141945
47,1709.77,0.71763,0.5193,1.12305,0.96973,0.97066,0.98638,0.82402,0.68823,0.46524,1.08421,0.00141395,0.00141395,0.00141395
48,1744.72,0.78458,0.54446,1.1455,0.98637,0.94396,0.97863,0.80083,0.71277,0.45573,1.08314,0.00140845,0.00140845,0.00140845
49,1779.42,0.73457,0.5226,1.13662,0.96768,0.975,0.98621,0.81493,0.71121,0.46908,1.10061,0.00140295,0.00140295,0.00140295
50,1814.59,0.75984,0.53663,1.14992,0.9695,0.95417,0.98142,0.80077,0.73562,0.49693,1.09559,0.00139745,0.00139745,0.00139745
51,1849.21,0.78869,0.54472,1.15312,0.97648,0.95198,0.98163,0.79205,0.75376,0.54063,1.10195,0.00139195,0.00139195,0.00139195
52,1883.67,0.80069,0.54539,1.18773,0.98734,0.95417,0.98477,0.78913,0.75855,0.47288,1.08738,0.00138644,0.00138644,0.00138644
53,1918.12,0.75695,0.5285,1.13209,0.95288,0.9814,0.98125,0.80133,0.70195,0.47062,1.07824,0.00138094,0.00138094,0.00138094
54,1952.99,0.74555,0.51537,1.13299,0.98523,0.94857,0.98434,0.80575,0.69897,0.4648,1.05611,0.00137544,0.00137544,0.00137544
55,1987.98,0.72066,0.4954,1.10004,0.9851,0.96977,0.98751,0.823,0.66436,0.43595,1.06302,0.00136994,0.00136994,0.00136994
56,2023.36,0.7245,0.49817,1.12577,0.96737,0.9648,0.98541,0.81371,0.68972,0.45219,1.06881,0.00136444,0.00136444,0.00136444
57,2058.19,0.70733,0.48141,1.10375,0.98803,0.97369,0.98675,0.82404,0.67314,0.42244,1.05297,0.00135894,0.00135894,0.00135894
58,2093.03,0.70735,0.47901,1.10803,0.97733,0.96273,0.98586,0.82454,0.65142,0.4311,1.05794,0.00135344,0.00135344,0.00135344
59,2128.4,0.71657,0.49362,1.11043,0.97951,0.96657,0.98475,0.81625,0.66179,0.44407,1.05314,0.00134794,0.00134794,0.00134794
60,2163.51,0.70076,0.48289,1.09531,0.96679,0.96667,0.98647,0.83024,0.6211,0.43008,1.02826,0.00134244,0.00134244,0.00134244
