epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.03767,0.51326,2.81769,0.85404,0.64443,0.91661,0.78667,0.72833,0.21832,1.93669,0.71042,2e-05,2e-05,2e-05
2,5.96216,0.44559,2.59205,0.87498,0.7896,1,0.895,0.87375,0.293,2.29166,0.71745,5.9406e-05,5.9406e-05,5.9406e-05
3,8.33022,0.49852,2.19321,0.85177,0.79102,1,0.995,0.92,0.37871,3.24581,0.72442,9.802e-05,9.802e-05,9.802e-05
4,11.1979,0.43543,1.80585,0.8454,0.98738,1,0.995,0.95137,0.32022,2.92401,0.71795,0.000135842,0.000135842,0.000135842
5,13.6843,0.41089,1.31468,0.85659,0.98838,1,0.995,0.995,0.23345,1.86558,0.70996,0.000172872,0.000172872,0.000172872
6,16.7261,0.41748,1.14521,0.80016,0.98805,1,0.995,0.995,0.24524,1.74513,0.70979,0.00020911,0.00020911,0.00020911
7,19.2953,0.47621,1.31971,0.84232,0.98836,1,0.995,0.96375,0.32488,1.71923,0.71737,0.000244556,0.000244556,0.000244556
8,21.9723,0.5055,1.17003,0.97598,0.98853,1,0.995,0.96375,0.35452,1.41882,0.72093,0.00027921,0.00027921,0.00027921
9,24.3915,0.48055,0.96697,0.80735,0.98848,1,0.995,0.93667,0.29284,1.19567,0.70935,0.000313072,0.000313072,0.000313072
10,26.8219,0.42308,0.83461,0.8359,0.989,1,0.995,0.92025,0.3231,0.85311,0.72721,0.000346142,0.000346142,0.000346142
11,29.0874,0.43929,0.86613,0.85697,0.9902,1,0.995,0.96375,0.4012,0.81832,0.74662,0.00037842,0.00037842,0.00037842
12,31.4457,0.46852,0.69668,0.84889,1,0.99037,0.995,0.90775,0.42617,0.95064,0.76825,0.000409906,0.000409906,0.000409906
13,33.5705,0.38714,0.86478,0.80791,0.63815,0.5,0.62758,0.5458,0.48095,1.5942,0.81418,0.0004406,0.0004406,0.0004406
14,35.891,0.44313,0.92893,0.76001,0.5995,0.75,0.75942,0.66028,0.44098,1.47897,0.8445,0.000470502,0.000470502,0.000470502
15,37.9509,0.52015,0.78063,0.9377,0.5995,0.75,0.75942,0.66028,0.44098,1.47897,0.8445,0.000499612,0.000499612,0.000499612
16,40.3192,0.59848,0.81739,0.9314,0.32169,0.5,0.42929,0.39033,0.4537,1.67975,0.83994,0.00052793,0.00052793,0.00052793
17,42.4527,0.46512,0.73878,0.89166,0.36581,0.25,0.37543,0.3422,0.46061,2.2907,0.80766,0.000555456,0.000555456,0.000555456
18,44.699,0.43801,0.82181,0.8572,0.36581,0.25,0.37543,0.3422,0.46061,2.2907,0.80766,0.00058219,0.00058219,0.00058219
19,46.9305,0.43846,0.71593,0.85765,0.21945,0.75,0.20049,0.18115,0.44604,3.46998,0.77437,0.000608132,0.000608132,0.000608132
20,49.3557,0.49676,0.69305,0.89729,0.1063,1,0.1209,0.10949,0.44321,6.92977,0.76144,0.000633282,0.000633282,0.000633282
21,51.4411,0.51918,0.68287,0.86472,0.1063,1,0.1209,0.10949,0.44321,6.92977,0.76144,0.00065764,0.00065764,0.00065764
22,53.7219,0.43305,0.72769,0.81748,0.10394,1,0.11299,0.10235,0.44092,6.70424,0.75535,0.000681206,0.000681206,0.000681206
23,55.9933,0.47813,0.87652,0.86828,0.31792,1,0.36182,0.33835,0.43121,3.18787,0.75787,0.00070398,0.00070398,0.00070398
24,58.2594,0.54965,0.57761,0.87322,0.31792,1,0.36182,0.33835,0.43121,3.18787,0.75787,0.000725962,0.000725962,0.000725962
25,60.5511,0.5724,0.69046,0.87614,0.96396,1,0.995,0.9325,0.34917,1.15916,0.74207,0.000747152,0.000747152,0.000747152
26,62.7142,0.40994,0.65186,0.82414,0.96396,1,0.995,0.9325,0.34917,1.15916,0.74207,0.00076755,0.00076755,0.00076755
27,65.0012,0.4979,0.6466,0.83101,0.98082,1,0.995,0.93667,0.29596,0.78691,0.73783,0.000787156,0.000787156,0.000787156
28,67.1831,0.50749,0.66669,0.95288,0.98082,1,0.995,0.93667,0.29596,0.78691,0.73783,0.00080597,0.00080597,0.00080597
29,69.4689,0.53434,0.5749,0.85036,0.78077,1,0.945,0.8985,0.33623,1.12596,0.7476,0.000823992,0.000823992,0.000823992
30,71.6809,0.45945,0.7334,0.89672,0.78077,1,0.945,0.8985,0.33623,1.12596,0.7476,0.000841222,0.000841222,0.000841222
31,73.8461,0.5465,0.66878,0.94607,0.78929,0.94645,0.945,0.9,0.3785,3.87896,0.74747,0.00085766,0.00085766,0.00085766
32,76.1406,0.43125,0.51577,0.88206,0.78929,0.94645,0.945,0.9,0.3785,3.87896,0.74747,0.000873306,0.000873306,0.000873306
33,78.3009,0.44981,0.56177,0.934,0.78929,0.94645,0.945,0.9,0.3785,3.87896,0.74747,0.00088816,0.00088816,0.00088816
34,80.6935,0.41007,0.51756,0.9071,0.94201,1,0.995,0.9285,0.36189,0.67874,0.75044,0.000902222,0.000902222,0.000902222
35,82.8226,0.50758,0.53214,0.88995,0.94201,1,0.995,0.9285,0.36189,0.67874,0.75044,0.000915492,0.000915492,0.000915492
36,85.1808,0.38499,0.46129,0.82066,0.98514,1,0.995,0.995,0.32875,0.6755,0.73098,0.00092797,0.00092797,0.00092797
37,87.6167,0.38368,0.4733,0.84356,0.98514,1,0.995,0.995,0.32875,0.6755,0.73098,0.000939656,0.000939656,0.000939656
38,89.962,0.33931,0.45136,0.85771,0.98514,1,0.995,0.995,0.32875,0.6755,0.73098,0.00095055,0.00095055,0.00095055
39,92.2831,0.42117,0.51824,0.91302,0.99715,1,0.995,0.965,0.36563,1.09674,0.73894,0.000960652,0.000960652,0.000960652
40,94.4976,0.4542,0.58591,0.88489,0.99715,1,0.995,0.965,0.36563,1.09674,0.73894,0.000969962,0.000969962,0.000969962
41,96.6754,0.40144,0.57333,0.82558,0.79843,0.99215,0.945,0.8985,0.33723,1.19332,0.73874,0.00097848,0.00097848,0.00097848
42,98.9243,0.42157,0.48446,0.87289,0.79843,0.99215,0.945,0.8985,0.33723,1.19332,0.73874,0.000986206,0.000986206,0.000986206
43,101.389,0.51197,0.48905,0.88775,0.79843,0.99215,0.945,0.8985,0.33723,1.19332,0.73874,0.00099314,0.00099314,0.00099314
44,103.741,0.46358,0.50858,0.92613,0.95713,0.75,0.795,0.795,0.3783,1.82102,0.74553,0.000999282,0.000999282,0.000999282
45,105.952,0.42071,0.402,0.86942,0.95713,0.75,0.795,0.795,0.3783,1.82102,0.74553,0.00100463,0.00100463,0.00100463
46,108.344,0.43352,0.4461,0.81611,0.95713,0.75,0.795,0.795,0.3783,1.82102,0.74553,0.00100919,0.00100919,0.00100919
47,110.837,0.39608,0.46478,0.82854,0.59973,0.75,0.75676,0.66863,0.43009,3.88422,0.75393,0.00101296,0.00101296,0.00101296
48,113.096,0.47384,0.50424,0.84853,0.59973,0.75,0.75676,0.66863,0.43009,3.88422,0.75393,0.00101593,0.00101593,0.00101593
49,115.474,0.53924,0.49108,0.90448,0.59973,0.75,0.75676,0.66863,0.43009,3.88422,0.75393,0.00101811,0.00101811,0.00101811
50,118.131,0.54595,0.48476,0.86737,0.38659,0.5,0.49235,0.4731,0.38052,3.55521,0.73729,0.0010195,0.0010195,0.0010195
51,120.475,0.4266,0.44124,0.78941,0.38659,0.5,0.49235,0.4731,0.38052,3.55521,0.73729,0.00101,0.00101,0.00101
52,123.029,0.41462,0.44814,0.84125,0.38659,0.5,0.49235,0.4731,0.38052,3.55521,0.73729,0.0009902,0.0009902,0.0009902
53,125.539,0.49821,0.52579,0.88919,0.92145,0.5,0.66348,0.64663,0.36513,1.36451,0.74843,0.0009704,0.0009704,0.0009704
54,128.116,0.43169,0.44795,0.88194,0.92145,0.5,0.66348,0.64663,0.36513,1.36451,0.74843,0.0009506,0.0009506,0.0009506
55,130.597,0.47551,0.45219,0.87966,0.92145,0.5,0.66348,0.64663,0.36513,1.36451,0.74843,0.0009308,0.0009308,0.0009308
56,133.187,0.40944,0.41885,0.8368,0.66399,0.5,0.61256,0.56355,0.48205,1.65354,0.79716,0.000911,0.000911,0.000911
57,135.67,0.42225,0.43297,0.94169,0.66399,0.5,0.61256,0.56355,0.48205,1.65354,0.79716,0.0008912,0.0008912,0.0008912
58,138.091,0.38679,0.4261,0.85126,0.66399,0.5,0.61256,0.56355,0.48205,1.65354,0.79716,0.0008714,0.0008714,0.0008714
59,140.44,0.34413,0.38602,0.80303,0.93721,0.5,0.66348,0.61771,0.31545,1.39683,0.76407,0.0008516,0.0008516,0.0008516
60,142.753,0.61112,0.65165,1.11674,0.93721,0.5,0.66348,0.61771,0.31545,1.39683,0.76407,0.0008318,0.0008318,0.0008318
61,145.024,0.37633,0.40054,0.89412,0.93721,0.5,0.66348,0.61771,0.31545,1.39683,0.76407,0.000812,0.000812,0.000812
62,148.001,0.45602,0.43929,0.87173,0.88775,0.5,0.61905,0.53733,0.41938,1.83552,0.77891,0.0007922,0.0007922,0.0007922
63,150.372,0.38136,0.41294,0.80644,0.88775,0.5,0.61905,0.53733,0.41938,1.83552,0.77891,0.0007724,0.0007724,0.0007724
64,152.92,0.35889,0.39567,0.89864,0.88775,0.5,0.61905,0.53733,0.41938,1.83552,0.77891,0.0007526,0.0007526,0.0007526
65,155.539,0.40197,0.40246,0.85769,0.94934,0.5,0.5689,0.52184,0.48546,2.15939,0.7942,0.0007328,0.0007328,0.0007328
66,157.976,0.42714,0.39362,0.79124,0.94934,0.5,0.5689,0.52184,0.48546,2.15939,0.7942,0.000713,0.000713,0.000713
67,160.52,0.45778,0.43572,0.93854,0.94934,0.5,0.5689,0.52184,0.48546,2.15939,0.7942,0.0006932,0.0006932,0.0006932
68,163.131,0.37538,0.37649,0.81367,0.93076,0.5,0.62721,0.53611,0.473,1.65197,0.79192,0.0006734,0.0006734,0.0006734
69,165.622,0.38629,0.38778,0.87043,0.93076,0.5,0.62721,0.53611,0.473,1.65197,0.79192,0.0006536,0.0006536,0.0006536
70,168.073,0.37415,0.40654,0.79925,0.93076,0.5,0.62721,0.53611,0.473,1.65197,0.79192,0.0006338,0.0006338,0.0006338
71,170.512,0.38459,0.39049,0.85023,0.79512,0.97559,0.945,0.9,0.39926,0.83516,0.7608,0.000614,0.000614,0.000614
72,172.748,0.35046,0.35154,0.86654,0.79512,0.97559,0.945,0.9,0.39926,0.83516,0.7608,0.0005942,0.0005942,0.0005942
73,174.869,0.35834,0.38141,0.85409,0.79512,0.97559,0.945,0.9,0.39926,0.83516,0.7608,0.0005744,0.0005744,0.0005744
74,177.176,0.3965,0.40347,0.86446,0.99536,1,0.995,0.945,0.40535,0.65182,0.76404,0.0005546,0.0005546,0.0005546
75,179.25,0.33934,0.33746,0.84461,0.99536,1,0.995,0.945,0.40535,0.65182,0.76404,0.0005348,0.0005348,0.0005348
76,181.513,0.38984,0.37043,0.87296,0.99536,1,0.995,0.945,0.40535,0.65182,0.76404,0.000515,0.000515,0.000515
77,183.836,0.39499,0.3749,0.89683,0.98731,1,0.995,0.945,0.36743,0.5411,0.76294,0.0004952,0.0004952,0.0004952
78,186.437,0.35516,0.38388,0.87778,0.98731,1,0.995,0.945,0.36743,0.5411,0.76294,0.0004754,0.0004754,0.0004754
79,188.647,0.3601,0.32905,0.82385,0.98731,1,0.995,0.945,0.36743,0.5411,0.76294,0.0004556,0.0004556,0.0004556
80,191.158,0.38094,0.37536,0.85626,0.98635,1,0.995,0.93667,0.31778,0.46727,0.75233,0.0004358,0.0004358,0.0004358
81,193.253,0.3555,0.34627,0.83604,0.98635,1,0.995,0.93667,0.31778,0.46727,0.75233,0.000416,0.000416,0.000416
82,195.471,0.44608,0.3877,0.85686,0.98635,1,0.995,0.93667,0.31778,0.46727,0.75233,0.0003962,0.0003962,0.0003962
83,197.834,0.38553,0.32782,0.84651,0.98197,1,0.995,0.96375,0.28676,0.47197,0.74515,0.0003764,0.0003764,0.0003764
84,200.145,0.40887,0.36115,0.94479,0.98197,1,0.995,0.96375,0.28676,0.47197,0.74515,0.0003566,0.0003566,0.0003566
85,202.254,0.31535,0.34609,0.86166,0.98197,1,0.995,0.96375,0.28676,0.47197,0.74515,0.0003368,0.0003368,0.0003368
86,204.649,0.27683,0.31627,0.84196,0.9849,1,0.995,0.995,0.23779,0.43562,0.73655,0.000317,0.000317,0.000317
87,206.879,0.29736,0.3565,0.83188,0.9849,1,0.995,0.995,0.23779,0.43562,0.73655,0.0002972,0.0002972,0.0002972
88,209.383,0.31688,0.33,0.84988,0.9849,1,0.995,0.995,0.23779,0.43562,0.73655,0.0002774,0.0002774,0.0002774
89,211.799,0.40158,0.40894,0.86075,0.98769,1,0.995,0.995,0.20177,0.37361,0.72601,0.0002576,0.0002576,0.0002576
90,214.114,0.31274,0.32801,0.80154,0.98769,1,0.995,0.995,0.20177,0.37361,0.72601,0.0002378,0.0002378,0.0002378
91,216.599,0.28466,0.33059,0.76616,0.98769,1,0.995,0.995,0.20177,0.37361,0.72601,0.000218,0.000218,0.000218
92,219.523,0.33568,0.3315,0.85535,0.98859,1,0.995,0.995,0.18717,0.28069,0.7202,0.0001982,0.0001982,0.0001982
93,221.661,0.31442,0.36956,0.87402,0.98859,1,0.995,0.995,0.18717,0.28069,0.7202,0.0001784,0.0001784,0.0001784
94,224.283,0.33182,0.33553,0.79618,0.98859,1,0.995,0.995,0.18717,0.28069,0.7202,0.0001586,0.0001586,0.0001586
95,227.125,0.35056,0.33155,0.86921,0.98899,1,0.995,0.995,0.18926,0.22776,0.71639,0.0001388,0.0001388,0.0001388
96,229.825,0.30642,0.30591,0.85673,0.98899,1,0.995,0.995,0.18926,0.22776,0.71639,0.000119,0.000119,0.000119
97,231.975,0.28362,0.29244,0.79674,0.98899,1,0.995,0.995,0.18926,0.22776,0.71639,9.92e-05,9.92e-05,9.92e-05
98,234.761,0.32124,0.33885,0.83355,0.98934,1,0.995,0.995,0.19034,0.20787,0.71638,7.94e-05,7.94e-05,7.94e-05
99,236.912,0.25022,0.27407,0.79755,0.98934,1,0.995,0.995,0.19034,0.20787,0.71638,5.96e-05,5.96e-05,5.96e-05
100,239.632,0.28613,0.33084,0.85542,0.98934,1,0.995,0.995,0.19034,0.20787,0.71638,3.98e-05,3.98e-05,3.98e-05
